n	repo	path	sha	license	url
1	hango-io/hango-gateway	install/crds/crd-17.yaml	3e5e2bdb113ba910ab9e01ccd046ed36e0d00ac7	NOASSERTION	https://github.com/hango-io/hango-gateway/blob/18cbd10ee8c19a67276a02c71fe4ba891e45cd5a/install/crds/crd-17.yaml
2	cloudnativebooks/cloud-native-istio	12_security/12.2/JWT-enable.yaml	12747f47d4d73f0b5db5d6fb17aab6842d87b4ad	NOASSERTION	https://github.com/cloudnativebooks/cloud-native-istio/blob/8ddf97075c42709b4f89805c2f23dbc8a3f4d530/12_security/12.2/JWT-enable.yaml
3	istio-ecosystem/authservice	examples/minimal/authz-policy.yaml	53605e7eace11fcffd61db7d8b29d40e36fd771d	NOASSERTION	https://github.com/istio-ecosystem/authservice/blob/046d5c5cec22bba84dda4efd60aab555e371074a/examples/minimal/authz-policy.yaml
4	cloudnativebooks/cloud-native-istio	12_security/12.2/JWT-end-user.yaml	7d5a338b48d5250d34c26322f4bdf6187bfb098d	NOASSERTION	https://github.com/cloudnativebooks/cloud-native-istio/blob/8ddf97075c42709b4f89805c2f23dbc8a3f4d530/12_security/12.2/JWT-end-user.yaml
5	meganokeefe/istiobyexample	yaml/jwt/jwt.yaml	f537c1887a8d4640cb7bdfe73a2d0bd4924a54c3	NOASSERTION	https://github.com/meganokeefe/istiobyexample/blob/3c93c3634a12355ecce5523447667c1b03e74d22/yaml/jwt/jwt.yaml
6	deckhouse/deckhouse	modules/110-istio/_crds/istio/1.21/crd-all.gen.yaml	45f40e73b8ee2d04d30dd626fb03ed5e05100ab2	NOASSERTION	https://github.com/deckhouse/deckhouse/blob/e634b4687adf0ebff3670928577da5b28d116cd5/modules/110-istio/_crds/istio/1.21/crd-all.gen.yaml
7	opea-project/GenAIInfra	authN-authZ/auth-istio/chatQnA_authN_oauth.yaml	fa67f81cb5e0a00bd666b34bac4386466cab30f4	NOASSERTION	https://github.com/opea-project/GenAIInfra/blob/9200b371d3eb08a33607b23e6f66b7ae5afc4346/authN-authZ/auth-istio/chatQnA_authN_oauth.yaml
8	salrashid123/istio_helloworld	auth_rbac_policy/auth-policy.yaml	e348f781f9ba468248abe6d576cfdf7465106245	NOASSERTION	https://github.com/salrashid123/istio_helloworld/blob/c2dd01c5cc83e29e520f89aa1cb11b899ab2658f/auth_rbac_policy/auth-policy.yaml
9	PacktPublishing/Kubernetes---An-Enterprise-Guide-2E	chapter13/authentication/service-auth.yaml	c040fb56df8d6ad57e84c0f20d6d402d532a4dd6	NOASSERTION	https://github.com/PacktPublishing/Kubernetes---An-Enterprise-Guide-2E/blob/357642cab83c2400d3a5bb9771ea019d33aa554c/chapter13/authentication/service-auth.yaml
10	PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition	Chapter18/kubernetes/helm/common/templates/_istio_base.yaml	a65b64a48c8e98a12658da8306f31a73368418bb	NOASSERTION	https://github.com/PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition/blob/816693dc82d65e880cead018bf3be08fcbefdd74/Chapter18/kubernetes/helm/common/templates/_istio_base.yaml
